train_number,train_name,origin,destination,seat_class,weather,current_delay_minutes,distance_km,scheduled_halts,hour_of_day,is_rush_hour,will_be_delayed
761,Sagardari Express,Khulna,Rajshahi,F_SEAT,cloudy,0,280,12,7,1,0
731,Barendra Express,Rajshahi,Chilahati,F_BERTH,cloudy,10,320,13,15,0,1
777,Haor Express,Dhaka (Kamalapur),Mohanganj,AC_B,light_rain,0,280,12,22,0,1
710,Parabat Express,Sylhet,Dhaka (Kamalapur),AC_B,cloudy,8,319,11,14,0,0
795,Benapole Express,Dhaka (Kamalapur),Benapole,S_CHAIR,light_rain,0,420,7,15,0,0
793,Panchagarh Express,Dhaka (Kamalapur),Panchagarh,SNIGDHA,light_rain,0,480,11,14,0,1
740,Upaban Express,Sylhet,Dhaka (Kamalapur),SNIGDHA,clear,0,319,10,12,0,0
703,Mohanagar Provati,Dhaka (Kamalapur),Chattogram,S_CHAIR,clear,0,320,9,13,0,0
777,Haor Express,Dhaka (Kamalapur),Mohanganj,AC_B,light_rain,0,280,12,11,0,0
769,Dhumketu Express,Dhaka (Kamalapur),Rajshahi,SHOVAN,cloudy,0,343,8,7,1,0
759,Padma Express,Dhaka (Kamalapur),Rajshahi,SNIGDHA,cloudy,0,343,9,4,0,0
760,Padma Express,Rajshahi,Dhaka (Kamalapur),SHOVAN,cloudy,0,343,9,14,0,0
719,Paharika Express,Chattogram,Sylhet,AC_S,cloudy,6,430,14,13,0,1
702,Subarna Express,Chattogram,Dhaka (Kamalapur),SHULOV,cloudy,0,320,4,20,1,1
710,Parabat Express,Sylhet,Dhaka (Kamalapur),AC_S,light_rain,0,319,11,21,0,0
726,Sundarban Express,Khulna,Dhaka (Kamalapur),SHULOV,clear,6,405,11,23,0,0
802,Chattala Express,Dhaka (Kamalapur),Chattogram,SNIGDHA,clear,1,320,12,12,0,0
703,Mohanagar Provati,Dhaka (Kamalapur),Chattogram,SHOVAN,cloudy,14,320,9,21,0,1
765,Nilsagar Express,Dhaka (Kamalapur),Chilahati,AC_B,clear,0,460,13,10,0,0
764,Chitra Express,Khulna,Dhaka (Kamalapur),AC_B,clear,0,405,13,5,0,0
740,Upaban Express,Sylhet,Dhaka (Kamalapur),SHOVAN,light_rain,0,319,10,23,0,1
710,Parabat Express,Sylhet,Dhaka (Kamalapur),AC_B,clear,0,319,11,19,1,0
764,Chitra Express,Khulna,Dhaka (Kamalapur),SNIGDHA,clear,0,405,13,8,1,0
740,Upaban Express,Sylhet,Dhaka (Kamalapur),SHOVAN,clear,4,319,10,15,0,0
763,Chitra Express,Dhaka (Kamalapur),Khulna,SHULOV,cloudy,0,405,13,12,0,0
766,Nilsagar Express,Chilahati,Dhaka (Kamalapur),SNIGDHA,cloudy,58,460,13,17,1,1
740,Upaban Express,Sylhet,Dhaka (Kamalapur),SNIGDHA,clear,0,319,10,17,1,0
814,Cox's Bazar Express,Cox's Bazar,Dhaka (Kamalapur),AC_S,cloudy,0,452,6,9,1,0
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,AC_S,clear,0,319,13,8,1,1
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,SHULOV,heavy_rain,0,319,13,9,1,1
813,Cox's Bazar Express,Dhaka (Kamalapur),Cox's Bazar,AC_B,clear,0,452,6,15,0,0
788,Sonar Bangla Express,Chattogram,Dhaka (Kamalapur),AC_B,clear,36,320,4,3,0,1
771,Rangpur Express,Dhaka (Kamalapur),Rangpur,SHOVAN,clear,23,465,12,9,1,0
773,Kalni Express,Dhaka (Kamalapur),Sylhet,SHOVAN,cloudy,0,319,8,6,0,1
710,Parabat Express,Sylhet,Dhaka (Kamalapur),AC_S,cloudy,0,319,11,19,1,1
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,SHULOV,clear,0,319,13,8,1,0
743,Brahmaputra Express,Dhaka (Kamalapur),Jamalpur,AC_S,clear,0,240,12,8,1,1
802,Chattala Express,Dhaka (Kamalapur),Chattogram,SNIGDHA,cloudy,0,320,12,22,0,0
740,Upaban Express,Sylhet,Dhaka (Kamalapur),SHOVAN,cloudy,0,319,10,13,0,0
702,Subarna Express,Chattogram,Dhaka (Kamalapur),AC_B,clear,32,320,4,21,0,0
761,Sagardari Express,Khulna,Rajshahi,F_SEAT,cloudy,42,280,12,13,0,1
704,Mohanagar Godhuli,Chattogram,Dhaka (Kamalapur),S_CHAIR,clear,0,320,9,5,0,0
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,SHULOV,heavy_rain,0,319,13,8,1,0
760,Padma Express,Rajshahi,Dhaka (Kamalapur),SHOVAN,light_rain,0,343,9,6,0,0
764,Chitra Express,Khulna,Dhaka (Kamalapur),SHULOV,clear,0,405,13,9,1,0
722,Mohanagar Express,Chattogram,Dhaka (Kamalapur),AC_B,heavy_rain,0,320,8,17,1,1
709,Parabat Express,Dhaka (Kamalapur),Sylhet,AC_B,cloudy,62,319,11,9,1,1
763,Chitra Express,Dhaka (Kamalapur),Khulna,S_CHAIR,clear,0,405,13,19,1,0
703,Mohanagar Provati,Dhaka (Kamalapur),Chattogram,SNIGDHA,light_rain,21,320,9,8,1,1
773,Kalni Express,Dhaka (Kamalapur),Sylhet,SHOVAN,cloudy,0,319,8,11,0,0
759,Padma Express,Dhaka (Kamalapur),Rajshahi,S_CHAIR,heavy_rain,0,343,9,13,0,0
737,Egarosindhur Provati,Dhaka (Kamalapur),Kishoreganj,S_CHAIR,clear,0,135,8,18,1,1
725,Sundarban Express,Dhaka (Kamalapur),Khulna,AC_B,cloudy,0,405,11,20,1,1
733,Titumir Express,Rajshahi,Chilahati,F_CHAIR,clear,0,320,12,21,0,0
719,Paharika Express,Chattogram,Sylhet,SHULOV,cloudy,8,430,14,7,1,0
709,Parabat Express,Dhaka (Kamalapur),Sylhet,SHULOV,clear,0,319,11,9,1,1
733,Titumir Express,Rajshahi,Chilahati,F_BERTH,clear,0,320,12,13,0,0
802,Chattala Express,Dhaka (Kamalapur),Chattogram,AC_S,clear,0,320,12,18,1,0
739,Upaban Express,Dhaka (Kamalapur),Sylhet,S_CHAIR,clear,0,319,10,17,1,0
753,Silkcity Express,Dhaka (Kamalapur),Rajshahi,SHOVAN,clear,19,343,9,6,0,0
721,Mohanagar Express,Dhaka (Kamalapur),Chattogram,AC_S,clear,49,320,8,9,1,0
760,Padma Express,Rajshahi,Dhaka (Kamalapur),SNIGDHA,clear,0,343,9,9,1,1
715,Kapotaksha Express,Khulna,Rajshahi,F_CHAIR,clear,4,280,14,23,0,0
741,Turna Nishitha,Dhaka (Kamalapur),Chattogram,SHULOV,clear,0,320,8,18,1,1
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,SNIGDHA,cloudy,17,319,13,11,0,0
802,Chattala Express,Dhaka (Kamalapur),Chattogram,SNIGDHA,light_rain,20,320,12,3,0,1
761,Sagardari Express,Khulna,Rajshahi,F_SEAT,light_rain,0,280,12,12,0,0
726,Sundarban Express,Khulna,Dhaka (Kamalapur),SNIGDHA,cloudy,29,405,11,11,0,1
702,Subarna Express,Chattogram,Dhaka (Kamalapur),SHOVAN,light_rain,9,320,4,20,1,0
777,Haor Express,Dhaka (Kamalapur),Mohanganj,SNIGDHA,cloudy,33,280,12,9,1,1
710,Parabat Express,Sylhet,Dhaka (Kamalapur),SHOVAN,clear,73,319,11,22,0,1
727,Rupsha Express,Khulna,Chilahati,SHULOV,clear,0,450,16,13,0,0
777,Haor Express,Dhaka (Kamalapur),Mohanganj,SNIGDHA,clear,0,280,12,21,0,0
707,Tista Express,Dhaka (Kamalapur),Jamalpur,SNIGDHA,clear,38,240,10,14,0,1
793,Panchagarh Express,Dhaka (Kamalapur),Panchagarh,SHOVAN,heavy_rain,46,480,11,18,1,1
757,Drutojan Express,Dhaka (Kamalapur),Panchagarh,AC_S,cloudy,0,480,13,19,1,0
742,Turna Nishitha,Chattogram,Dhaka (Kamalapur),AC_S,cloudy,14,320,8,4,0,0
710,Parabat Express,Sylhet,Dhaka (Kamalapur),SHOVAN,clear,0,319,11,13,0,0
763,Chitra Express,Dhaka (Kamalapur),Khulna,S_CHAIR,light_rain,0,405,13,7,1,1
733,Titumir Express,Rajshahi,Chilahati,SHULOV,cloudy,34,320,12,12,0,1
737,Egarosindhur Provati,Dhaka (Kamalapur),Kishoreganj,S_CHAIR,clear,0,135,8,4,0,0
757,Drutojan Express,Dhaka (Kamalapur),Panchagarh,SHULOV,clear,0,480,13,19,1,0
722,Mohanagar Express,Chattogram,Dhaka (Kamalapur),SHULOV,cloudy,0,320,8,7,1,0
760,Padma Express,Rajshahi,Dhaka (Kamalapur),S_CHAIR,cloudy,6,343,9,11,0,0
763,Chitra Express,Dhaka (Kamalapur),Khulna,AC_B,clear,0,405,13,23,0,1
788,Sonar Bangla Express,Chattogram,Dhaka (Kamalapur),SNIGDHA,heavy_rain,0,320,4,11,0,0
791,Banalata Express,Dhaka (Kamalapur),Rajshahi,SHULOV,clear,0,343,3,18,1,1
763,Chitra Express,Dhaka (Kamalapur),Khulna,AC_S,light_rain,0,405,13,8,1,0
757,Drutojan Express,Dhaka (Kamalapur),Panchagarh,SHOVAN,cloudy,69,480,13,22,0,1
777,Haor Express,Dhaka (Kamalapur),Mohanganj,SNIGDHA,light_rain,11,280,12,18,1,1
727,Rupsha Express,Khulna,Chilahati,SHULOV,heavy_rain,0,450,16,14,0,1
750,Egarosindhur Godhuli,Kishoreganj,Dhaka (Kamalapur),F_CHAIR,light_rain,30,135,8,4,0,1
735,Agnibina Express,Dhaka (Kamalapur),Jamalpur,AC_B,clear,0,240,11,8,1,0
753,Silkcity Express,Dhaka (Kamalapur),Rajshahi,S_CHAIR,clear,10,343,9,1,0,0
788,Sonar Bangla Express,Chattogram,Dhaka (Kamalapur),AC_B,clear,0,320,4,10,0,0
791,Banalata Express,Dhaka (Kamalapur),Rajshahi,AC_S,clear,9,343,3,21,0,1
727,Rupsha Express,Khulna,Chilahati,F_BERTH,clear,0,450,16,13,0,0
769,Dhumketu Express,Dhaka (Kamalapur),Rajshahi,SNIGDHA,clear,21,343,8,19,1,0
754,Silkcity Express,Rajshahi,Dhaka (Kamalapur),AC_B,clear,2,343,9,16,0,0
727,Rupsha Express,Khulna,Chilahati,F_CHAIR,clear,3,450,16,16,0,0
753,Silkcity Express,Dhaka (Kamalapur),Rajshahi,SNIGDHA,cloudy,0,343,9,6,0,0
761,Sagardari Express,Khulna,Rajshahi,SHULOV,clear,8,280,12,18,1,0
765,Nilsagar Express,Dhaka (Kamalapur),Chilahati,SHULOV,cloudy,86,460,13,10,0,1
725,Sundarban Express,Dhaka (Kamalapur),Khulna,SHULOV,clear,0,405,11,2,0,0
788,Sonar Bangla Express,Chattogram,Dhaka (Kamalapur),AC_S,light_rain,2,320,4,12,0,0
733,Titumir Express,Rajshahi,Chilahati,SHULOV,light_rain,0,320,12,19,1,1
788,Sonar Bangla Express,Chattogram,Dhaka (Kamalapur),AC_S,clear,6,320,4,1,0,0
725,Sundarban Express,Dhaka (Kamalapur),Khulna,SHOVAN,cloudy,22,405,11,12,0,1
771,Rangpur Express,Dhaka (Kamalapur),Rangpur,AC_B,light_rain,0,465,12,21,0,1
743,Brahmaputra Express,Dhaka (Kamalapur),Jamalpur,SHOVAN,light_rain,6,240,12,11,0,0
743,Brahmaputra Express,Dhaka (Kamalapur),Jamalpur,S_CHAIR,clear,0,240,12,10,0,0
727,Rupsha Express,Khulna,Chilahati,SHULOV,light_rain,0,450,16,11,0,0
723,Udayan Express,Sylhet,Chattogram,S_CHAIR,clear,0,430,14,3,0,0
727,Rupsha Express,Khulna,Chilahati,SHOVAN,clear,6,450,16,4,0,0
731,Barendra Express,Rajshahi,Chilahati,SHOVAN,light_rain,0,320,13,21,0,0
797,Kurigram Express,Dhaka (Kamalapur),Kurigram,F_CHAIR,light_rain,0,500,15,15,0,1
735,Agnibina Express,Dhaka (Kamalapur),Jamalpur,SHOVAN,heavy_rain,0,240,11,16,0,1
814,Cox's Bazar Express,Cox's Bazar,Dhaka (Kamalapur),SHOVAN,clear,0,452,6,11,0,1
705,Ekota Express,Dhaka (Kamalapur),Panchagarh,AC_B,clear,19,480,14,4,0,1
709,Parabat Express,Dhaka (Kamalapur),Sylhet,S_CHAIR,light_rain,0,319,11,11,0,0
754,Silkcity Express,Rajshahi,Dhaka (Kamalapur),AC_S,clear,0,343,9,1,0,0
777,Haor Express,Dhaka (Kamalapur),Mohanganj,AC_S,light_rain,0,280,12,2,0,1
742,Turna Nishitha,Chattogram,Dhaka (Kamalapur),SHOVAN,heavy_rain,0,320,8,9,1,1
710,Parabat Express,Sylhet,Dhaka (Kamalapur),S_CHAIR,cloudy,0,319,11,15,0,1
795,Benapole Express,Dhaka (Kamalapur),Benapole,SHOVAN,clear,0,420,7,11,0,0
743,Brahmaputra Express,Dhaka (Kamalapur),Jamalpur,SHULOV,clear,0,240,12,16,0,0
763,Chitra Express,Dhaka (Kamalapur),Khulna,AC_B,cloudy,0,405,13,2,0,0
793,Panchagarh Express,Dhaka (Kamalapur),Panchagarh,AC_B,light_rain,0,480,11,10,0,1
731,Barendra Express,Rajshahi,Chilahati,SHULOV,cloudy,0,320,13,22,0,0
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,AC_S,clear,51,319,13,16,0,0
763,Chitra Express,Dhaka (Kamalapur),Khulna,SNIGDHA,clear,20,405,13,1,0,1
722,Mohanagar Express,Chattogram,Dhaka (Kamalapur),SNIGDHA,clear,88,320,8,10,0,1
764,Chitra Express,Khulna,Dhaka (Kamalapur),SNIGDHA,light_rain,0,405,13,13,0,0
813,Cox's Bazar Express,Dhaka (Kamalapur),Cox's Bazar,SHOVAN,clear,2,452,6,9,1,0
802,Chattala Express,Dhaka (Kamalapur),Chattogram,SHULOV,clear,12,320,12,11,0,0
793,Panchagarh Express,Dhaka (Kamalapur),Panchagarh,AC_B,clear,22,480,11,21,0,1
771,Rangpur Express,Dhaka (Kamalapur),Rangpur,SHULOV,light_rain,0,465,12,20,1,1
765,Nilsagar Express,Dhaka (Kamalapur),Chilahati,AC_B,cloudy,0,460,13,2,0,0
760,Padma Express,Rajshahi,Dhaka (Kamalapur),SNIGDHA,cloudy,4,343,9,15,0,0
722,Mohanagar Express,Chattogram,Dhaka (Kamalapur),SNIGDHA,light_rain,0,320,8,15,0,1
703,Mohanagar Provati,Dhaka (Kamalapur),Chattogram,S_CHAIR,clear,8,320,9,10,0,0
757,Drutojan Express,Dhaka (Kamalapur),Panchagarh,SHOVAN,clear,5,480,13,22,0,0
795,Benapole Express,Dhaka (Kamalapur),Benapole,AC_S,clear,15,420,7,0,0,0
726,Sundarban Express,Khulna,Dhaka (Kamalapur),SHOVAN,clear,0,405,11,22,0,0
731,Barendra Express,Rajshahi,Chilahati,S_CHAIR,light_rain,2,320,13,14,0,0
741,Turna Nishitha,Dhaka (Kamalapur),Chattogram,SHOVAN,cloudy,0,320,8,1,0,0
773,Kalni Express,Dhaka (Kamalapur),Sylhet,AC_S,clear,22,319,8,2,0,0
757,Drutojan Express,Dhaka (Kamalapur),Panchagarh,SNIGDHA,clear,0,480,13,20,1,0
742,Turna Nishitha,Chattogram,Dhaka (Kamalapur),AC_S,cloudy,84,320,8,1,0,1
787,Sonar Bangla Express,Dhaka (Kamalapur),Chattogram,SNIGDHA,light_rain,5,320,4,19,1,1
793,Panchagarh Express,Dhaka (Kamalapur),Panchagarh,SHOVAN,clear,26,480,11,21,0,1
777,Haor Express,Dhaka (Kamalapur),Mohanganj,AC_B,clear,0,280,12,19,1,0
719,Paharika Express,Chattogram,Sylhet,SHULOV,heavy_rain,6,430,14,16,0,1
726,Sundarban Express,Khulna,Dhaka (Kamalapur),AC_B,clear,0,405,11,12,0,0
802,Chattala Express,Dhaka (Kamalapur),Chattogram,SNIGDHA,heavy_rain,0,320,12,16,0,0
764,Chitra Express,Khulna,Dhaka (Kamalapur),AC_B,clear,60,405,13,6,0,1
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,S_CHAIR,cloudy,0,319,13,3,0,0
750,Egarosindhur Godhuli,Kishoreganj,Dhaka (Kamalapur),F_CHAIR,light_rain,0,135,8,17,1,0
703,Mohanagar Provati,Dhaka (Kamalapur),Chattogram,S_CHAIR,cloudy,83,320,9,21,0,1
721,Mohanagar Express,Dhaka (Kamalapur),Chattogram,S_CHAIR,clear,6,320,8,6,0,0
787,Sonar Bangla Express,Dhaka (Kamalapur),Chattogram,AC_B,clear,0,320,4,19,1,1
797,Kurigram Express,Dhaka (Kamalapur),Kurigram,F_CHAIR,clear,0,500,15,16,0,0
773,Kalni Express,Dhaka (Kamalapur),Sylhet,S_CHAIR,light_rain,0,319,8,13,0,0
750,Egarosindhur Godhuli,Kishoreganj,Dhaka (Kamalapur),SHULOV,cloudy,47,135,8,18,1,1
766,Nilsagar Express,Chilahati,Dhaka (Kamalapur),S_CHAIR,clear,23,460,13,7,1,0
722,Mohanagar Express,Chattogram,Dhaka (Kamalapur),AC_S,clear,0,320,8,6,0,0
763,Chitra Express,Dhaka (Kamalapur),Khulna,SHULOV,cloudy,3,405,13,21,0,0
813,Cox's Bazar Express,Dhaka (Kamalapur),Cox's Bazar,S_CHAIR,light_rain,6,452,6,23,0,0
739,Upaban Express,Dhaka (Kamalapur),Sylhet,SHOVAN,cloudy,0,319,10,9,1,0
777,Haor Express,Dhaka (Kamalapur),Mohanganj,SHULOV,cloudy,66,280,12,23,0,1
735,Agnibina Express,Dhaka (Kamalapur),Jamalpur,SHOVAN,clear,22,240,11,9,1,0
704,Mohanagar Godhuli,Chattogram,Dhaka (Kamalapur),SNIGDHA,light_rain,0,320,9,17,1,0
740,Upaban Express,Sylhet,Dhaka (Kamalapur),AC_S,clear,0,319,10,16,0,0
721,Mohanagar Express,Dhaka (Kamalapur),Chattogram,S_CHAIR,clear,14,320,8,0,0,0
802,Chattala Express,Dhaka (Kamalapur),Chattogram,S_CHAIR,cloudy,0,320,12,9,1,0
731,Barendra Express,Rajshahi,Chilahati,F_BERTH,cloudy,4,320,13,1,0,1
813,Cox's Bazar Express,Dhaka (Kamalapur),Cox's Bazar,AC_B,heavy_rain,42,452,6,9,1,1
765,Nilsagar Express,Dhaka (Kamalapur),Chilahati,SHOVAN,clear,60,460,13,17,1,0
741,Turna Nishitha,Dhaka (Kamalapur),Chattogram,SHOVAN,cloudy,0,320,8,14,0,0
701,Subarna Express,Dhaka (Kamalapur),Chattogram,SHULOV,clear,5,320,4,5,0,0
760,Padma Express,Rajshahi,Dhaka (Kamalapur),S_CHAIR,cloudy,0,343,9,4,0,0
701,Subarna Express,Dhaka (Kamalapur),Chattogram,SNIGDHA,clear,0,320,4,23,0,0
754,Silkcity Express,Rajshahi,Dhaka (Kamalapur),SHULOV,clear,0,343,9,21,0,0
737,Egarosindhur Provati,Dhaka (Kamalapur),Kishoreganj,F_CHAIR,cloudy,0,135,8,4,0,0
771,Rangpur Express,Dhaka (Kamalapur),Rangpur,SNIGDHA,clear,0,465,12,21,0,0
735,Agnibina Express,Dhaka (Kamalapur),Jamalpur,SHOVAN,light_rain,0,240,11,11,0,0
788,Sonar Bangla Express,Chattogram,Dhaka (Kamalapur),SNIGDHA,light_rain,0,320,4,10,0,0
735,Agnibina Express,Dhaka (Kamalapur),Jamalpur,AC_S,cloudy,0,240,11,1,0,0
726,Sundarban Express,Khulna,Dhaka (Kamalapur),SHOVAN,clear,0,405,11,8,1,0
766,Nilsagar Express,Chilahati,Dhaka (Kamalapur),AC_B,clear,65,460,13,2,0,1
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,S_CHAIR,clear,54,319,13,12,0,0
759,Padma Express,Dhaka (Kamalapur),Rajshahi,S_CHAIR,clear,15,343,9,3,0,0
705,Ekota Express,Dhaka (Kamalapur),Panchagarh,AC_S,cloudy,0,480,14,9,1,0
791,Banalata Express,Dhaka (Kamalapur),Rajshahi,SHOVAN,clear,0,343,3,8,1,0
761,Sagardari Express,Khulna,Rajshahi,F_BERTH,clear,80,280,12,0,0,1
771,Rangpur Express,Dhaka (Kamalapur),Rangpur,AC_B,clear,0,465,12,14,0,0
731,Barendra Express,Rajshahi,Chilahati,F_BERTH,clear,18,320,13,18,1,0
735,Agnibina Express,Dhaka (Kamalapur),Jamalpur,SNIGDHA,clear,0,240,11,8,1,0
727,Rupsha Express,Khulna,Chilahati,F_SEAT,cloudy,0,450,16,11,0,0
733,Titumir Express,Rajshahi,Chilahati,SHOVAN,clear,0,320,12,5,0,0
709,Parabat Express,Dhaka (Kamalapur),Sylhet,SNIGDHA,light_rain,0,319,11,13,0,0
741,Turna Nishitha,Dhaka (Kamalapur),Chattogram,S_CHAIR,clear,0,320,8,14,0,1
750,Egarosindhur Godhuli,Kishoreganj,Dhaka (Kamalapur),F_SEAT,clear,0,135,8,2,0,0
750,Egarosindhur Godhuli,Kishoreganj,Dhaka (Kamalapur),SHULOV,cloudy,17,135,8,9,1,1
814,Cox's Bazar Express,Cox's Bazar,Dhaka (Kamalapur),SHULOV,clear,8,452,6,6,0,0
719,Paharika Express,Chattogram,Sylhet,SNIGDHA,clear,0,430,14,16,0,0
715,Kapotaksha Express,Khulna,Rajshahi,SHULOV,cloudy,0,280,14,1,0,0
742,Turna Nishitha,Chattogram,Dhaka (Kamalapur),AC_B,clear,0,320,8,4,0,0
765,Nilsagar Express,Dhaka (Kamalapur),Chilahati,AC_S,cloudy,19,460,13,23,0,0
802,Chattala Express,Dhaka (Kamalapur),Chattogram,SHULOV,light_rain,0,320,12,5,0,0
707,Tista Express,Dhaka (Kamalapur),Jamalpur,AC_B,cloudy,0,240,10,4,0,0
737,Egarosindhur Provati,Dhaka (Kamalapur),Kishoreganj,F_SEAT,clear,0,135,8,20,1,0
763,Chitra Express,Dhaka (Kamalapur),Khulna,SHULOV,cloudy,0,405,13,0,0,0
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,AC_B,cloudy,16,319,13,16,0,1
705,Ekota Express,Dhaka (Kamalapur),Panchagarh,SNIGDHA,light_rain,0,480,14,12,0,1
777,Haor Express,Dhaka (Kamalapur),Mohanganj,AC_S,clear,0,280,12,12,0,1
701,Subarna Express,Dhaka (Kamalapur),Chattogram,SHULOV,clear,24,320,4,18,1,0
705,Ekota Express,Dhaka (Kamalapur),Panchagarh,AC_B,clear,0,480,14,2,0,0
706,Ekota Express,Panchagarh,Dhaka (Kamalapur),SHOVAN,cloudy,32,480,14,18,1,0
